Controller,Run,Scene,Solved,IsStable,ConstraintsOK,JointsOK,JointsVelOK,ControlEffort,FinalError,RMSE,SimTime
FBL-QP,5,21,1,1,1,1,1,744.480526939503,0.0390537847098471,0.74145972849428,19.66
FBL-QP,1,22,1,1,1,1,1,834.289839486127,0.0521933612239242,0.732057732713807,17.68
FBL-QP,2,22,1,1,1,1,1,339.46238584598,0.0511451497289644,0.712826216794404,17.32
FBL-QP,3,22,1,1,1,1,1,592.387732996247,0.0494974291787297,0.721860357824827,17.38
FBL-QP,4,22,1,1,1,1,1,622.456663346576,0.0512176749386484,0.717836183550108,17.24
FBL-QP,5,22,1,1,1,1,1,1019.60802754662,0.0529571586159393,0.736302061380314,17.58
FBL-QP,1,23,1,1,1,1,1,317.739727772662,0.0856034015562084,0.606399496314705,16
FBL-QP,2,23,1,1,1,1,1,437.911436443424,0.0808012976401103,0.612247499703781,15.9
FBL-QP,3,23,1,1,1,1,1,411.060812019131,0.0837768916427331,0.615280137732604,16.18
FBL-QP,4,23,1,1,1,1,1,308.284816456416,0.0829118751601274,0.605017149974686,15.86
FBL-QP,5,23,1,1,1,1,1,308.918856732654,0.0843189689517508,0.605714706697618,15.94
FBL-QP,1,24,1,1,1,1,1,717.651216204837,0.0425622807116838,0.674160200874786,19.22
FBL-QP,2,24,1,1,1,1,1,705.424065584132,0.0429627431937563,0.675834443361082,19.3
FBL-QP,3,24,1,1,1,1,1,703.764742098118,0.0446420745657742,0.671989585019557,19.32
FBL-QP,4,24,1,1,1,1,1,729.226569883971,0.0440543126011553,0.676625159996087,19.32
FBL-QP,5,24,1,1,1,1,1,703.114819886965,0.0416377764517835,0.677451813515092,19.28
FBL-QP,1,25,1,1,1,1,1,198.573677530698,0.0359462769595426,0.627663333120087,15.5
FBL-QP,2,25,1,1,1,1,1,174.008479492074,0.0388289449128903,0.624296916446664,15.5
FBL-QP,3,25,1,1,1,1,1,605.397969063313,0.0442504433822138,0.645961606807654,16.06
FBL-QP,4,25,1,1,1,1,1,203.486465772233,0.0370369459612544,0.627664946794899,15.5
FBL-QP,5,25,1,1,1,1,1,467.304069810282,0.0408996938680329,0.642026347199559,15.8
FBL-QP,1,26,1,1,1,1,1,276.784922800228,0.0319240198185883,0.690933976963418,15.9
FBL-QP,2,26,1,1,1,1,1,279.076326677014,0.0312757096925408,0.693630587874763,15.98
FBL-QP,3,26,1,1,1,1,1,297.210512681894,0.0316905978956909,0.692424889374043,16
FBL-QP,4,26,1,1,1,1,1,445.855621703945,0.0318035245888505,0.698141679871989,16.1
FBL-QP,5,26,1,1,1,1,1,276.407797809381,0.0320736163491383,0.693121801939119,16.02
FBL-QP,1,27,1,1,1,1,1,180.052342034226,0.041880228180334,0.598705740597083,17.18
FBL-QP,2,27,1,1,1,1,1,200.915252502418,0.0412304256632273,0.597521020842253,17.14
FBL-QP,3,27,1,1,1,1,1,198.551386398618,0.0410672792866843,0.597670926859054,17.14
FBL-QP,4,27,1,1,1,1,1,232.418180415782,0.0402220957562837,0.600940899630136,17.16
FBL-QP,5,27,1,1,1,1,1,197.258660408306,0.041166054800864,0.597193920813354,17.16
FBL-QP,1,28,1,1,1,1,1,588.750553355313,0.0345091663359611,0.749870811979522,18.26
FBL-QP,2,28,1,1,1,1,1,572.55761500101,0.0372260821553677,0.74150433546072,18.1
FBL-QP,3,28,1,1,1,1,1,1000.33972749514,0.0629900814547444,0.732577835585746,17.8
FBL-QP,4,28,1,1,1,1,1,371.451391890645,0.0344564774927528,0.744668756006984,18.14
FBL-QP,5,28,1,1,1,1,1,349.28094961722,0.0349348279112359,0.738698605585213,17.94
FBL-QP,1,29,1,1,1,1,1,249.116055848109,0.0378821330507645,0.619387614568495,18.72
