Controller,Run,Scene,Solved,IsStable,ConstraintsOK,JointsOK,JointsVelOK,ControlEffort,FinalError,RMSE,SimTime
FBL,5,3,1,1,0,1,1,70.4629929452058,0.023244705409798,0.347312930775972,38.3
FBL,1,40,1,1,0,1,1,99.6730226121518,0.0391513219814659,0.372224005849714,38.92
FBL,2,40,1,1,0,1,1,106.411406055326,0.0392754750467364,0.373356102985113,38.96
FBL,3,40,1,1,0,1,1,107.054962330722,0.0391088903186442,0.373362447762867,38.94
FBL,4,40,1,1,0,1,1,99.9356445009446,0.0392017505243993,0.372636070654632,38.94
FBL,5,40,1,1,0,1,1,102.813180910652,0.0395620806354954,0.372192505936266,38.92
FBL,1,41,1,1,1,1,0,64.4027938525451,0.0265018147503786,0.328759824471916,38.1
FBL,2,41,1,1,1,1,0,57.3060382870387,0.0264411361468727,0.327965554707619,38.08
FBL,3,41,1,1,1,1,0,58.5355239441319,0.0264806961722268,0.327114453129466,38.08
FBL,4,41,1,1,1,1,1,59.0257690257306,0.0263239013764752,0.327998899402543,38.1
FBL,5,41,1,1,1,1,0,58.2203934284892,0.026379398751274,0.326326934788123,38.06
FBL,1,42,1,1,0,0,0,42389.7031547793,0.0388692125870113,0.31073962964711,44.94
FBL,2,42,1,1,1,1,0,6849.28159845147,0.0181832205759159,0.300149206692714,39.92
FBL,3,42,1,1,0,0,0,75678.33631813,0.0504905958627432,0.436635154526647,45.42
FBL,4,42,1,1,1,0,0,867.139034083536,0.015215305303872,0.300190058174999,39.48
FBL,5,42,1,1,0,1,0,476772.327747917,0.0227360177869376,0.288466866727621,38.82
FBL,1,43,1,1,0,0,0,541.754164642285,0.0375835870492659,0.285218016814922,37.12
FBL,2,43,1,1,0,0,0,344.394470513643,0.0385882322737596,0.297043318802111,37.58
FBL,3,43,1,1,0,0,0,97.2319090528149,0.0401281792303183,0.309697840132778,38
FBL,4,43,1,1,0,0,0,317.1298324797,0.0404784880627102,0.327745630959793,38.42
FBL,5,43,1,1,0,0,0,4555.7575372634,0.0231976064671259,0.2545244401128,36.82
FBL,1,44,1,1,0,1,0,221.682566221849,0.0291688742667171,0.321637382032581,38.36
FBL,2,44,1,1,0,0,0,2191.56408063434,0.0256042115700897,0.385087176915406,40.34
FBL,3,44,1,1,0,1,0,248.511741305915,0.0284867746753567,0.322286042451788,37.92
FBL,4,44,1,1,0,1,0,281.676343928238,0.0291212892274315,0.32040926761637,37.8
FBL,5,44,1,1,0,1,0,869.133408970104,0.0323265514542717,0.339030542004342,39
FBL,1,45,1,1,1,1,0,144.877387746367,0.0465200521469671,0.40163610204452,40.16
FBL,2,45,1,1,1,1,0,162.938826137319,0.0481107501828417,0.405025261807001,40.46
FBL,3,45,1,1,1,1,0,178.42581650748,0.0472518086486211,0.408612381857212,40.42
FBL,4,45,1,1,1,1,0,251.78600325486,0.036106548909014,0.385931965439489,39.2
FBL,5,45,1,1,1,1,0,191.667306795233,0.0497760212569075,0.41037419705386,40.78
FBL,1,46,1,1,0,1,1,42.6036679875074,0.0256050951507671,0.3462798999959,38.36
FBL,2,46,1,1,0,1,1,40.1515019662926,0.0258634686205382,0.346632770697302,38.34
FBL,3,46,1,1,0,1,1,42.2701275410349,0.0255155544405984,0.347265249839125,38.36
FBL,4,46,1,1,0,1,1,42.0772852638801,0.0254970208100833,0.345995819677188,38.34
FBL,5,46,1,1,0,1,1,42.2960600936928,0.0256614527349481,0.346416778277104,38.34
FBL,1,47,1,1,1,1,1,46.2550509677732,0.0296331666139258,0.330948383334856,38.26
FBL,2,47,1,1,1,1,1,49.9256323423208,0.0299057503031425,0.33024549025349,38.26
FBL,3,47,1,1,1,1,1,47.9407218546219,0.0299481703477171,0.329424830063228,38.26
FBL,4,47,1,1,1,1,1,45.8637303450913,0.0299736905892497,0.331560258426932,38.28
FBL,5,47,1,1,1,1,1,44.6848179480435,0.0292164192699076,0.330965677455512,38.24
FBL,1,48,1,1,0,0,0,322238.920668069,0.0478716364881999,0.668453981421038,176.36
FBL,2,48,1,1,0,1,0,640.94768422471,0.0480250912180932,0.326097308866654,37.6
FBL,3,48,NaN,NaN,NaN,NaN,NaN,36677.3606238721,0.166411703270033,0.198081822924491,608.02
FBL,4,48,1,1,0,1,0,671.630548024144,0.0667200098934247,0.326719912607415,37.98
FBL,5,48,1,1,0,1,0,587.413739663954,0.0184245855484393,0.322788244171169,37.24
FBL,1,49,1,1,0,1,0,294.471900777115,0.0201260665998467,0.335494273405205,38.28
FBL,2,49,1,1,0,1,0,320.534341728152,0.0218230005558114,0.33666936067477,38.22
FBL,3,49,1,1,0,1,0,311.614079941043,0.0192745872578112,0.335003854803466,38.16
FBL,4,49,1,1,0,1,0,319.582184745356,0.0221659600823365,0.338345544741299,38.2
FBL,5,49,1,1,0,1,0,301.89289964503,0.026831233413966,0.337246990283137,38.26
FBL,1,4,1,1,0,0,0,243.344334446387,0.025803825163108,0.328627594921033,39.04
FBL,2,4,1,1,0,0,0,273.901823899363,0.0305499027937393,0.327244612935704,39.18
FBL,3,4,1,1,0,0,0,235.888171395817,0.0305321802245052,0.328626402439988,39
FBL,4,4,1,1,0,0,0,227.431948676457,0.0282967822493986,0.327839664742042,39.04
FBL,5,4,1,1,0,1,0,215.734129442696,0.0328156008846692,0.329708601159758,38.6
FBL,1,50,1,1,0,0,0,850.948986228163,0.0256672951496494,0.32637834888554,38.84
FBL,2,50,1,1,0,0,0,166.472496235091,0.0259366419616419,0.320839449236919,38.66
FBL,3,50,1,1,0,0,0,125.659559457148,0.0254861188820818,0.320642717875331,38.66
FBL,4,50,1,1,0,0,0,181.994189498732,0.0255107965415989,0.320607686695679,38.72
FBL,5,50,1,1,0,0,0,126.545804159458,0.027473142474513,0.320301672615877,38.4
FBL,1,51,1,1,0,1,0,295.308843005129,0.0589765587304479,0.415018871576846,46.66
FBL,2,51,1,1,0,1,0,352.641487522849,0.0602625708659464,0.406644358752713,48.4
FBL,3,51,1,1,0,0,0,4562.46455083213,0.0217239518630594,0.430861982086142,40.94
FBL,4,51,1,1,0,1,0,318.159468351254,0.0589852819506704,0.428018723267546,45.88
FBL,5,51,1,1,0,1,0,334.923604763166,0.0600915849139386,0.411026470741058,47.84
FBL,1,52,1,1,1,1,1,64.013949840732,0.0270902776554719,0.304847858979428,37.6
FBL,2,52,1,1,1,1,1,61.2633364475218,0.0275086427621078,0.304842909937142,37.6
FBL,3,52,1,1,1,1,1,61.4656010559059,0.0277022350062588,0.305868577192992,37.62
FBL,4,52,1,1,1,1,1,59.6802689102687,0.0276731170303832,0.305723764097511,37.64
FBL,5,52,1,1,1,1,1,59.1747497317192,0.0288242682805304,0.305669771106434,37.62
FBL,1,53,1,1,1,1,0,67.6606558631985,0.0293534819847135,0.342505455898794,38.32
FBL,2,53,1,1,1,1,0,69.6204748879081,0.0305813362059905,0.341530007205097,38.3
FBL,3,53,1,1,1,1,0,71.24377452977,0.0295160727895695,0.34251205146154,38.32
FBL,4,53,1,1,1,1,0,67.3075874060878,0.0295658267241643,0.342699978741708,38.3
