Controller,Run,Solved,IsStable,ConstraintsOK,JointsOK,ControlEffort,FinalError,RMSE,SimTime
FBL-QP,50,1,1,1,1,1016.68281112603,0.0448417943307742,0.521094046851677,15.6933333333333
FBL-QP,51,1,1,1,1,1147.02291769141,0.0865771002505295,0.530460668013035,17.84
FBL-QP,52,1,1,1,1,943.950237111161,0.00877703919241663,0.518903690091003,15.8266666666667
FBL-QP,53,1,1,1,1,990.095945756445,0.00643786824746149,0.581710555664394,17.4866666666667
FBL-QP,54,1,1,1,1,1259.82358356842,0.0752980732852998,0.585426859546552,18.3
FBL-QP,55,1,1,1,1,387.708662931733,0.0389139665923175,0.467172317859564,16.0066666666667
FBL-QP,56,1,1,1,1,1379.68338212513,0.0934397338114341,0.656732546073135,19.2333333333333
FBL-QP,57,1,1,1,1,625.235628380685,0.0045009720808597,0.452315597704626,18.8133333333333
FBL-QP,58,1,1,1,1,278.828843218863,0.0565645327669649,0.531551940765733,18.0266666666667
FBL-QP,59,1,1,1,1,1140.16965455971,0.00937395938983415,0.612274465642675,17.8
FBL-QP,60,1,1,1,1,2543.27636534022,0.0890184164579158,0.689981999142922,18.8066666666667
FBL-QP,61,1,1,1,1,1025.46252687674,0.0248783449257604,0.558951517810434,17.3733333333333
FBL-QP,62,1,1,1,1,1946.23912415955,0.0946554309558236,0.318011357346449,80.68
FBL-QP,63,1,1,1,1,156.77720816454,0.00579184117999764,0.480396213279054,17.1666666666667
FBL-QP,64,1,1,1,1,959.546432260835,0.0185059620383025,0.599491593883551,17.9466666666667
FBL-QP,65,1,1,1,1,115.792744812175,0.00722144445886293,0.500277926490468,17.12
FBL-QP,66,1,1,1,1,5250.42785817524,0.0912004939901104,0.234504830003888,154.706666666667
FBL-QP,67,1,1,1,1,1193.39671005178,0.0104966064435395,0.592135125481195,17.0933333333333
FBL-QP,68,1,1,1,1,968.696353970035,0.00930915685646501,0.579847047486249,17.54
FBL-QP,69,1,1,1,1,140.326745457741,0.0311774820200925,0.435783901686451,16.8533333333333
FBL-QP,70,1,1,1,1,276.95048127667,0.0785531495122325,0.443289637643868,19.3466666666667
FBL-QP,71,1,1,1,1,1234.28575490378,0.0182563159787057,0.560205170914199,24.16
FBL-QP,72,1,1,1,1,735.911222359914,0.091050953840268,0.298805758366434,56.3066666666667
FBL-QP,73,1,1,1,1,1032.591979554,0.00901148989760599,0.591670032816607,17.6466666666667
FBL-QP,74,1,1,1,1,4588.20998536614,0.0993176792329938,0.186539026905056,425.273333333333
FBL-QP,75,0,0,1,1,23257.6175524076,0.127871863280763,0.253902521490423,538.293333333333
FBL-QP,76,1,1,1,1,188.258621469176,0.0113477154117128,0.484087726354243,16.0933333333333
FBL-QP,77,1,1,1,1,1002.39128549315,0.0703080210943513,0.581160890418131,18.3066666666667
FBL-QP,78,1,1,1,1,1308.10477786535,0.0173922039300236,0.630583586616492,17.8066666666667
