Controller,Run,Scene,Solved,IsStable,ConstraintsOK,JointsOK,JointsVelOK,ControlEffort,FinalError,RMSE,SimTime,SceneLogError,ScenePositionError_1,ScenePositionError_2,ScenePositionError_3,SceneRotationError_1,SceneRotationError_2,SceneRotationError_3
FBL-QP,4,1,1,1,1,1,1,895.571704894664,0.0953108500438465,0.501692816987048,39.08,1.41100440159185,1.04813847397944,-1.64962262573388,-1.27587155467557,0.671614599784914,0.0401995587190829,0.234564053177847
FBL-QP,5,1,1,1,1,1,1,1094.28592898249,0.0949857924845142,0.4679971540372,46.02,1.41100792765148,1.04814219401663,-1.64962637800617,-1.275878766598,0.671614743123336,0.0401996065171326,0.234564044863836
FBL-QP,1,20,1,1,1,1,1,643.58003694994,0.0277936253301902,0.685932386249507,16.62,1.30189761657121,0.964750767889583,-1.73970207415018,-0.306395609878803,0.693217461642775,0.0898655718467259,0.227704862509376
FBL-QP,2,20,1,1,1,1,1,554.189566131986,0.0287128123456554,0.682426534747052,16.64,1.30189458027834,0.964746421118723,-1.73969780861237,-0.306385376741709,0.69321723116702,0.089865491692385,0.227704892163205
FBL-QP,3,20,1,1,1,1,1,626.264486618275,0.028297755111649,0.683194439581942,16.62,1.30189837579987,0.964751854476507,-1.7397031403041,-0.306398168199013,0.693217519538847,0.0898655919834876,0.227704855064815
FBL-QP,4,20,1,1,1,1,1,628.235805668152,0.0282347652566472,0.68260600296116,16.62,1.30189837579987,0.964751854476507,-1.7397031403041,-0.306398168199013,0.693217519538847,0.0898655919834876,0.227704855064815
FBL-QP,5,20,1,1,1,1,1,597.626508100221,0.0289799329543704,0.682257920143729,16.64,1.30189458027834,0.964746421118723,-1.73969780861237,-0.306385376741709,0.69321723116702,0.089865491692385,0.227704892163205
FBL-QP,1,21,1,1,1,1,1,308.598675726315,0.030763065843989,0.734659997722816,19.46,1.3446007656372,1.02584419310252,-1.86874737038921,-0.105992608927647,0.690976439590254,0.0671126917388931,0.224833611494727
FBL-QP,2,21,1,1,1,1,1,803.401900806413,0.0475122412002205,0.739707807862954,19.78,1.3446014225466,1.02584534470154,-1.86874856346218,-0.105995116603837,0.690976407727403,0.0671126822748467,0.224833614848355
FBL-QP,3,21,1,1,1,1,1,641.727697652787,0.0349895428424705,0.741614076915248,19.66,1.3446014225466,1.02584534470154,-1.86874856346218,-0.105995116603837,0.690976407727403,0.0671126822748467,0.224833614848355
FBL-QP,4,21,1,1,1,1,1,707.249593991341,0.038647611833384,0.742532259645349,19.72,1.3446007656372,1.02584419310252,-1.86874737038921,-0.105992608927647,0.690976439590254,0.0671126917388931,0.224833611494727
FBL-QP,5,21,1,1,1,1,1,744.480526939503,0.0390537847098471,0.74145972849428,19.66,1.3446014225466,1.02584534470154,-1.86874856346218,-0.105995116603837,0.690976407727403,0.0671126822748467,0.224833614848355
FBL-QP,1,22,1,1,1,1,1,834.289839486127,0.0521933612239242,0.732057732713807,17.68,1.34781628773017,0.914578571697153,-1.93131269055322,-0.189053350824234,0.685205224724663,0.0351470154595474,0.244889236624635
FBL-QP,2,22,1,1,1,1,1,339.46238584598,0.0511451497289644,0.712826216794404,17.32,1.34781628773017,0.914578571697153,-1.93131269055322,-0.189053350824234,0.685205224724663,0.0351470154595474,0.244889236624635
FBL-QP,3,22,1,1,1,1,1,592.387732996247,0.0494974291787297,0.721860357824827,17.38,1.34781553597561,0.914577287069766,-1.93131157951205,-0.189050906363079,0.685205164577972,0.0351469932856046,0.244889239477407
FBL-QP,4,22,1,1,1,1,1,622.456663346576,0.0512176749386484,0.717836183550108,17.24,1.34781553597561,0.914577287069766,-1.93131157951205,-0.189050906363079,0.685205164577972,0.0351469932856046,0.244889239477407
FBL-QP,5,22,1,1,1,1,1,1019.60802754662,0.0529571586159393,0.736302061380314,17.58,1.34781628773017,0.914578571697153,-1.93131269055322,-0.189053350824234,0.685205224724663,0.0351470154595474,0.244889236624635
FBL-QP,1,23,1,1,1,1,1,317.739727772662,0.0856034015562084,0.606399496314705,16,1.16951834278858,0.0716675920932643,-0.805910968649378,1.50132320513327,0.676660877947442,0.092437621044498,0.220395767138053
FBL-QP,2,23,1,1,1,1,1,437.911436443424,0.0808012976401103,0.612247499703781,15.9,1.1695195908206,0.0716653663060857,-0.805908332041914,1.50132813861752,0.676661043827175,0.0924376694764609,0.220395744676652
FBL-QP,3,23,1,1,1,1,1,411.060812019131,0.0837768916427331,0.615280137732604,16.18,1.1695195908206,0.0716653663060857,-0.805908332041914,1.50132813861752,0.676661043827175,0.0924376694764609,0.220395744676652
FBL-QP,4,23,1,1,1,1,1,308.284816456416,0.0829118751601274,0.605017149974686,15.86,1.16951896687815,0.0716664791573563,-0.805909650248693,1.50132567184643,0.676660960998498,0.0924376452905429,0.220395755888074
FBL-QP,5,23,1,1,1,1,1,308.918856732654,0.0843189689517508,0.605714706697618,15.94,1.1695214617005,0.0716620282853281,-0.805904378645764,1.50133553929517,0.676661290914927,0.0924377415901781,0.220395711236606
FBL-QP,1,24,1,1,1,1,1,717.651216204837,0.0425622807116838,0.674160200874786,19.22,1.30489290685151,1.02136050253142,-1.71230402298413,-0.376520929752049,0.684905692493009,0.0686050826097167,0.247887931781503
FBL-QP,2,24,1,1,1,1,1,705.424065584132,0.0429627431937563,0.675834443361082,19.3,1.30489290685151,1.02136050253142,-1.71230402298413,-0.376520929752049,0.684905692493009,0.0686050826097167,0.247887931781503
FBL-QP,3,24,1,1,1,1,1,703.764742098118,0.0446420745657742,0.671989585019557,19.32,1.30489290685151,1.02136050253142,-1.71230402298413,-0.376520929752049,0.684905692493009,0.0686050826097167,0.247887931781503
FBL-QP,4,24,1,1,1,1,1,729.226569883971,0.0440543126011553,0.676625159996087,19.32,1.30489454471194,1.02136299045471,-1.71230620394163,-0.376525887816243,0.684905782742549,0.0686051154913215,0.24788792251959
FBL-QP,5,24,1,1,1,1,1,703.114819886965,0.0416377764517835,0.677451813515092,19.28,1.30489536367598,1.02136423439418,-1.71230729438114,-0.376528366849701,0.684905827926118,0.0686051319522051,0.247887917877841
FBL-QP,1,25,1,1,1,1,1,198.573677530698,0.0359462769595426,0.627663333120087,15.5,1.23595401563286,0.605584675834869,-1.72673307600657,0.391754366901939,0.686768317038794,0.0285461909198389,0.222877389225161
FBL-QP,2,25,1,1,1,1,1,174.008479492074,0.0388289449128903,0.624296916446664,15.5,1.23595319584249,0.605582302764886,-1.72673070468467,0.39175929053141,0.68676821559029,0.0285461582765578,0.222877393765519
FBL-QP,3,25,1,1,1,1,1,605.397969063313,0.0442504433822138,0.645961606807654,16.06,1.23595237614362,0.605579929667135,-1.7267283332746,0.391764214168207,0.686768114272289,0.0285461256619034,0.222877398306358
FBL-QP,4,25,1,1,1,1,1,203.486465772233,0.0370369459612544,0.627664946794899,15.5,1.23595442555656,0.605585862361017,-1.72673426164308,0.391751905091651,0.686768367802079,0.0285462072505111,0.222877386954563
FBL-QP,5,25,1,1,1,1,1,467.304069810282,0.0408996938680329,0.642026347199559,15.8,1.23595319584249,0.605582302764886,-1.72673070468467,0.39175929053141,0.68676821559029,0.0285461582765578,0.222877393765519
FBL-QP,1,26,1,1,1,1,1,276.784922800228,0.0319240198185883,0.690933976963418,15.9,1.3151352600365,0.734186300332935,-1.97633489975037,0.220944590944805,0.664220713492938,0.0533527339622566,0.221628287217306
FBL-QP,2,26,1,1,1,1,1,279.076326677014,0.0312757096925408,0.693630587874763,15.98,1.3151352600365,0.734186300332935,-1.97633489975037,0.220944590944805,0.664220713492938,0.0533527339622566,0.221628287217306
FBL-QP,3,26,1,1,1,1,1,297.210512681894,0.0316905978956909,0.692424889374043,16,1.31513706920834,0.734189765663245,-1.97633886865042,0.220937377585208,0.66422088834012,0.0533527876138066,0.221628273902935
