Controller,Run,Solved,IsStable,ConstraintsOK,JointsOK,JointsVelOK,ControlEffort,FinalError,RMSE,SimTime
FBL-QP,180,1,1,1,1,1,611.451330048936,0.0693389968902372,0.405920553200659,41.34
FBL-QP,181,1,1,1,1,1,303.634811260772,0.0258772660782546,0.368362377866275,41.7
FBL-QP,182,1,1,1,1,1,209.679637387446,0.0273185465331148,0.34210723951453,39.24
FBL-QP,183,1,1,1,1,1,158.052607709255,0.0276078874317435,0.3871923618229,42.02
FBL-QP,184,1,1,1,1,1,511.316556668272,0.0459403855763603,0.349159735668502,47.7
FBL-QP,185,1,1,1,1,1,284.179314316544,0.0561443809954972,0.352623454298929,40.58
FBL-QP,186,1,1,1,1,1,1106.88581760321,0.0361977325784224,0.454995509277331,44.68
FBL-QP,187,1,1,1,1,1,266.546455177591,0.027581403483607,0.461090452178479,44.5
FBL-QP,188,1,1,1,1,1,259.915478511038,0.031668099843031,0.3354899951219,38.96
FBL-QP,189,1,1,1,1,1,474.401640307301,0.0622479114121269,0.467418276072339,46.28
FBL-QP,190,1,1,1,1,1,492.778854863398,0.0570435597841058,0.475592728206709,42.58
FBL-QP,191,1,1,1,1,1,216.64973144434,0.0354713765913894,0.371070384592787,39.7
FBL-QP,192,1,1,1,1,1,223.658129104691,0.0284747759359024,0.379369400947902,40.84
FBL-QP,193,1,1,1,1,1,824.395146375683,0.0302566286561072,0.477630016767512,43.9
FBL-QP,194,1,1,1,1,1,322.697171590926,0.0319387575413044,0.390675175545377,42.92
FBL-QP,195,1,1,1,1,1,453.271492199514,0.027806461181089,0.401077864008301,42.26
FBL-QP,196,1,1,1,1,1,691.811030878437,0.0280518383413845,0.470167711005404,43.92
FBL-QP,197,1,1,1,1,1,433.912486171122,0.0475301154180195,0.383050226802797,44.3
FBL-QP,198,1,1,1,1,1,263.918155831734,0.0548256131842733,0.384906845933321,41.1
FBL-QP,199,1,1,1,1,1,360.073179840685,0.0223315895251601,0.38721660422125,42.52
FBL-QP,200,1,1,1,1,1,213.586055725511,0.0326300130896845,0.385855855270766,42.06
QP,1,1,1,1,1,1,258.776745656582,0.0287054300552499,0.287315700446508,37.16
QP,2,1,1,1,1,1,1395.72169090931,0.0563306644246712,0.351927232779824,44.88
QP,3,1,1,1,1,1,438.78113486708,0.0295860453150257,0.395664033648898,41.28
QP,4,1,1,1,1,1,402.336063790116,0.0220687309011645,0.323516064727245,38.34
QP,5,1,1,1,1,1,441.622362248876,0.0203037602132699,0.384630536943797,39.3
QP,6,1,1,1,1,1,263.418318599175,0.0517064061007436,0.387932925437651,42.52
QP,7,1,1,1,1,1,404.241944673118,0.0350824439984939,0.371895097309162,42.74
QP,8,1,1,1,1,1,517.903774478391,0.0256873293268124,0.375126624410639,39.56
QP,9,1,1,1,1,1,324.757682446673,0.0253716722042741,0.356318624132718,38.56
QP,10,1,1,1,1,1,752.739313835301,0.0388439634665156,0.354806367699338,45.76
QP,11,1,1,1,1,1,492.99911754248,0.0218145622780989,0.401423556193109,41.98
QP,12,1,1,1,1,1,418.383099205126,0.0182691192452763,0.35882463443346,42.24
QP,13,1,1,1,1,1,394.075790370467,0.0273178241330759,0.346821999382527,39.18
QP,14,1,1,1,1,1,281.858757569894,0.027572460109476,0.354817919881199,41.96
QP,15,1,1,1,1,1,272.008260730028,0.036686138246699,0.309105146770027,37.84
QP,16,1,1,1,1,1,442.569758310823,0.0388540860364333,0.372363434304666,41.4
QP,17,1,1,1,1,1,235.191404133089,0.0303459633173302,0.275460765790798,36.02
QP,18,1,1,1,1,1,797.497829028974,0.0764293967042966,0.401650771938685,40.72
QP,19,1,1,1,1,1,332.314949508591,0.0240396513674134,0.308940439880569,38.92
QP,20,1,1,1,1,1,5772.09426015596,0.0622958652332668,0.235936286016305,139.06
QP,21,1,1,1,1,1,448.565204379928,0.0228573930362701,0.439245773645777,40.94
QP,22,1,1,1,1,1,151.347652368438,0.0284043598650167,0.394929323246732,39.1
QP,23,1,1,1,1,1,275.52214718651,0.052042638729489,0.346343744924787,38.52
QP,24,1,1,1,1,1,422.256926804257,0.0717658772046595,0.336921283788598,42.22
QP,25,1,1,1,1,1,306.710862904987,0.0313245894631344,0.411710314978161,39.46
QP,26,1,1,1,1,1,215.586488792925,0.0356195762384798,0.407075789382167,39.1
QP,27,1,1,1,1,1,813.018589073222,0.0519578514417785,0.290152914482935,40.2
QP,28,1,1,1,1,1,162.32029469448,0.0287089057572122,0.261539659395575,35.88
QP,29,1,1,1,1,1,1281.33390160628,0.027994346097901,0.359442610260539,42.68
QP,30,1,1,1,1,1,254.134344094608,0.0310932555079366,0.362249216464294,38.66
QP,31,1,1,1,1,1,567.831353200356,0.0242739512160327,0.335562097926867,38.36
QP,32,1,1,1,1,1,221.966248957858,0.0429934479631415,0.284056514265773,37
QP,33,1,1,1,1,1,767.374184187302,0.0299653163140937,0.381790488533859,44.24
QP,34,1,1,1,1,1,353.242513964393,0.0270630878188476,0.298208192489909,40.88
QP,35,1,1,1,1,1,137.054707642298,0.0265270350467921,0.286712128180295,37.64
QP,36,1,1,1,1,1,6512.50726629735,0.0638942707252545,0.239634318939285,146.88
QP,37,1,1,1,1,1,1026.04570922585,0.0323833814294994,0.294222915348203,47.9
QP,38,1,1,1,1,1,1442.10487226027,0.0255569632219223,0.364669664626969,42.28
QP,39,1,1,1,1,1,323.913080154264,0.0256047381030631,0.324610623635501,39.4
QP,40,1,1,1,1,1,583.03806117648,0.0210251502328008,0.351548144185059,42.5
QP,41,1,1,1,1,1,197.037888189565,0.0495366005213964,0.284262562122562,36.52
QP,42,1,1,1,1,1,209.766847512716,0.0257457123876356,0.328726998438854,38.5
QP,43,1,1,1,1,1,378.362458751459,0.0252868828648426,0.345432742771882,38.7
QP,44,1,1,1,1,1,514.389562839433,0.0263659682074698,0.36975710245705,41.48
QP,45,1,1,1,1,1,526.188558080009,0.0269426506986903,0.439838205866014,39.7
QP,46,1,1,1,1,1,332.946327124777,0.0308598580178296,0.369053731204691,38.66
QP,47,1,1,1,1,1,396.390723614573,0.0273633654053001,0.389944903065969,42.36
QP,48,1,1,1,1,1,1051.02842703574,0.0479718501229851,0.248472035405413,61.22
QP,49,1,1,1,1,1,238.22240423382,0.0231727697018483,0.320358655139502,38.38
QP,50,1,1,1,1,1,8884.94771884372,0.0912278941727273,0.209925198395339,534.78
QP,51,1,1,1,1,1,175.437356186344,0.0295218085115703,0.403123785621304,40.94
QP,52,1,1,1,1,1,616.624755920072,0.0336716221788014,0.269391639582213,52.64
QP,53,1,1,1,1,1,1533.23618257211,0.0660824822239535,0.279807060251732,47.5
QP,54,1,1,1,1,1,2002.0499941981,0.073566848173509,0.338736143665103,48.14
QP,55,1,1,1,1,1,2499.22670542465,0.0762952306075271,0.246506159191516,106.8
QP,56,1,1,1,1,1,192.929400991927,0.036262904308454,0.279558960480963,36.54
QP,57,1,1,1,1,1,320.909538661891,0.0503503218263375,0.308310691319878,39.72
QP,58,1,1,1,1,1,488.217659934034,0.0243382309363174,0.372464514942768,42.12
QP,59,1,1,1,1,1,495.280764105372,0.0270043056886694,0.361201062877141,40.2
QP,60,1,1,1,1,1,1034.49652091181,0.0635458387402274,0.300790201235057,46.26
QP,61,1,1,1,1,1,247.419206511947,0.0219892059045597,0.279775987396404,37.54
QP,62,1,1,1,1,1,592.853394492136,0.0284122858119271,0.373437849936062,40.92
